Aircraft,Total_Accidents,Fatal_Accidents,Total_Fatalities,Avg_Fatalities_Per_Accident,Units_Produced,Accidents_Per_Unit,Fatal_Accidents_Per_Unit
AERONCA 7DC,5,0,0.0,0.0,,,
AERONCA 7DC-CONV,1,0,0.0,0.0,,,
AERONCA 7EC,5,1,1.0,0.2,,,
AERONCA AIRCRAFT CORPORATION 7AC,1,0,0.0,0.0,,,
AERONCA L 3B,1,0,0.0,0.0,,,
AERONCA L16A,1,0,0.0,0.0,,,
AERONCA O-58B,1,0,0.0,0.0,,,
AERONCA O-58C,1,1,1.0,1.0,,,
AERONCA O58B,1,0,0.0,0.0,,,
AERONCA S11AC,1,0,0.0,0.0,,,
AERONCA S7EC,1,0,0.0,0.0,,,
AEROPRAKT 22L2,1,1,2.0,2.0,,,
AEROPRAKT A 20 VISTA CRUISER,1,0,0.0,0.0,,,
AEROPRAKT A-22 VALOR,1,0,0.0,0.0,,,
AEROPRAKT MANUFACTURING SP ZOO A22LS,1,0,0.0,0.0,,,
AEROPRO CZ A220,4,1,1.0,0.25,,,
AEROPRO CZ A240,2,1,1.0,0.5,,,
AEROPRO CZ EUROFOX,2,0,0.0,0.0,,,
AEROPRO CZ EUROFOX LSA,4,0,0.0,0.0,,,
AEROPRO CZ S R O A220,1,0,0.0,0.0,,,
AEROPRO CZ S R O A240,2,1,1.0,0.5,,,
AEROS LTD AEROS 2,1,0,0.0,0.0,,,
AEROS LTD SKYRANGER,1,0,0.0,0.0,,,
AEROS LTD/SKYRANGER AIRCRAFT SKYRANGER II,1,0,0.0,0.0,,,
AEROS VENTURE,1,0,0.0,0.0,,,
AEROSPATIALE ALENIA ATR 42-320,1,0,0.0,0.0,,,
AEROSPATIALE ATR 42-320,1,0,0.0,0.0,,,
AEROSPOOL DYNAMIC WT-9,1,1,1.0,1.0,,,
AEROSPORT LTD IKARUS C42E,1,0,0.0,0.0,,,
AEROSTAR 602P,1,1,4.0,4.0,,,
AEROSTAR ACFT CORP OF TEXAS M20E,2,0,0.0,0.0,,,
AEROSTAR ACFT CORP OF TEXAS M20F,1,0,0.0,0.0,,,
AEROSTAR AIRCRAFT CORPORATION PA-60-601P,2,1,1.0,0.5,,,
AEROSTAR S A YAK 52,1,1,2.0,2.0,,,
AEROSTAR S A YAK-52,2,2,3.0,1.5,,,
AEROTECHNIK L 13 SEH VIVAT,1,0,0.0,0.0,,,
AEROTEK INC PITTS S-2B,1,0,0.0,0.0,,,
AEROTEK PITTS S 1T,1,0,0.0,0.0,,,
AEROTEK PITTS S 2A,1,1,2.0,2.0,,,
AEROTEK PITTS S-1T,1,0,0.0,0.0,,,
AEROTEK PITTS S-2A,2,1,1.0,0.5,,,
AEROTEK PITTS SPEC,1,0,0.0,0.0,,,
AEROTEK PITTS SPECIAL,1,0,0.0,0.0,,,
AEROTEK PITTS SPECIAL S-1S,3,0,0.0,0.0,,,
AEROTREK A220,1,0,0.0,0.0,,,
AEROVODOCHODY L 29 DELFIN,1,0,0.0,0.0,,,
AEROVODOCHODY L-29 DELFIN,3,2,3.0,1.0,,,
AFICIONADO MINI-MAX EROS,1,0,0.0,0.0,,,
AG-CAT CORPORATION G 164,1,0,0.0,0.0,,,
AHRENS GERD H RV 6,1,1,1.0,1.0,,,
AIR CREATION CLIPPER,1,1,2.0,2.0,,,
AIR CREATION CLIPPER 582S,1,0,0.0,0.0,,,
AIR CREATION CLIPPER 912,1,0,0.0,0.0,,,
AIR CREATION GTE,1,0,0.0,0.0,,,
AIR GULFSTREAM AIRLINES INC SX-300,1,0,0.0,0.0,,,
AIR TRACTOR 301,1,0,0.0,0.0,,,
AIR TRACTOR 401-0860,1,0,0.0,0.0,,,
AIR TRACTOR 401B,1,0,0.0,0.0,,,
AIR TRACTOR 502B,2,1,1.0,0.5,,,
AIR TRACTOR AT 301,2,0,0.0,0.0,,,
AIR TRACTOR AT 400,1,0,0.0,0.0,,,
AIR TRACTOR AT 400A,1,0,0.0,0.0,,,
AIR TRACTOR AT 401,1,0,0.0,0.0,,,
AIR TRACTOR AT 402,2,0,0.0,0.0,,,
AIR TRACTOR AT 502,7,2,2.0,0.2857142857142857,,,
AIR TRACTOR AT 602,12,0,0.0,0.0,,,
AIR TRACTOR AT-301,6,0,0.0,0.0,,,
AIR TRACTOR AT-301A,2,0,0.0,0.0,,,
AIR TRACTOR AT-301B,1,0,0.0,0.0,,,
AIR TRACTOR AT-400,2,1,1.0,0.5,,,
AIR TRACTOR AT-400A,1,0,0.0,0.0,,,
AIR TRACTOR AT-401,3,0,0.0,0.0,,,
AIR TRACTOR AT-402,3,0,0.0,0.0,,,
AIR TRACTOR AT-402A,1,0,0.0,0.0,,,
AIR TRACTOR AT-402B,3,0,0.0,0.0,,,
AIR TRACTOR AT-502,5,1,1.0,0.2,,,
AIR TRACTOR AT-502B,5,2,2.0,0.4,,,
AIR TRACTOR AT-504,1,0,0.0,0.0,,,
AIR TRACTOR AT-602,7,2,2.0,0.2857142857142857,,,
AIR TRACTOR AT-802A,8,3,3.0,0.375,,,
AIR TRACTOR AT-802F,1,1,1.0,1.0,,,
AIR TRACTOR AT301,4,2,2.0,0.5,,,
AIR TRACTOR AT400,1,1,1.0,1.0,,,
AIR TRACTOR AT401,3,0,0.0,0.0,,,
AIR TRACTOR AT402,7,3,3.0,0.42857142857142855,,,
AIR TRACTOR AT502,37,15,16.0,0.43243243243243246,,,
AIR TRACTOR AT503,1,0,0.0,0.0,,,
AIR TRACTOR AT602,8,2,2.0,0.25,,,
AIR TRACTOR AT802,20,8,10.0,0.5,,,
AIR TRACTOR AT802-A,1,1,1.0,1.0,,,
AIR TRACTOR AT802A,1,0,0.0,0.0,,,
AIR TRACTOR INC AT,1,0,0.0,0.0,,,
AIR TRACTOR INC AT 301,6,0,0.0,0.0,,,
AIR TRACTOR INC AT 400,1,0,0.0,0.0,,,
AIR TRACTOR INC AT 401,4,0,0.0,0.0,,,
AIR TRACTOR INC AT 401B,2,1,1.0,0.5,,,
AIR TRACTOR INC AT 402,3,1,1.0,0.3333333333333333,,,
AIR TRACTOR INC AT 402A,3,0,0.0,0.0,,,
AIR TRACTOR INC AT 402B,5,0,0.0,0.0,,,
AIR TRACTOR INC AT 502,13,2,2.0,0.15384615384615385,,,
AIR TRACTOR INC AT 502B,19,5,5.0,0.2631578947368421,,,
AIR TRACTOR INC AT 602,12,6,6.0,0.5,,,
AIR TRACTOR INC AT 802,10,0,0.0,0.0,,,
AIR TRACTOR INC AT 802A,3,0,0.0,0.0,,,
AIR TRACTOR INC AT-301,27,2,2.0,0.07407407407407407,,,
AIR TRACTOR INC AT-301A,2,0,0.0,0.0,,,
AIR TRACTOR INC AT-302,1,0,0.0,0.0,,,
AIR TRACTOR INC AT-400,2,0,0.0,0.0,,,
AIR TRACTOR INC AT-400A,2,0,0.0,0.0,,,
AIR TRACTOR INC AT-401,7,0,0.0,0.0,,,
AIR TRACTOR INC AT-401B,1,0,0.0,0.0,,,
AIR TRACTOR INC AT-402,1,0,0.0,0.0,,,
AIR TRACTOR INC AT-402A,2,0,0.0,0.0,,,
AIR TRACTOR INC AT-402B,6,2,2.0,0.3333333333333333,,,
AIR TRACTOR INC AT-502,14,1,1.0,0.07142857142857142,,,
AIR TRACTOR INC AT-502A,2,2,2.0,1.0,,,
AIR TRACTOR INC AT-502B,25,2,2.0,0.08,,,
AIR TRACTOR INC AT-602,26,7,7.0,0.2692307692307692,,,
AIR TRACTOR INC AT-802,3,2,2.0,0.6666666666666666,,,
AIR TRACTOR INC AT-802A,15,7,7.0,0.4666666666666667,,,
AIR TRACTOR INC. AT-301,1,0,0.0,0.0,,,
AIR TRACTOR INC. AT-502,2,0,0.0,0.0,,,
AIR TRACTOR INC. AT-802,1,1,1.0,1.0,,,
AIR TRACTOR INC. AT-802A,1,1,1.0,1.0,,,
"AIR TRACTOR, INC. AT-400",1,0,0.0,0.0,,,
AIRBORNE EDGE,1,1,1.0,1.0,,,
AIRBORNE EXTREME LLC SQ-12,1,0,0.0,0.0,,,
AIRBORNE REDBACK,1,0,0.0,0.0,,,
AIRBORNE XT912,1,0,0.0,0.0,,,
AIRBUS 319-132,1,0,0.0,0.0,,,
AIRBUS 320,2,0,0.0,0.0,,,
AIRBUS 321,2,0,0.0,0.0,,,
AIRBUS 330,1,0,0.0,0.0,,,
AIRBUS 330-200,1,0,0.0,0.0,,,
AIRBUS A220,4,0,0.0,0.0,,,
AIRBUS A300,8,0,0.0,0.0,,,
AIRBUS A300 - F4 622R,1,1,2.0,2.0,,,
AIRBUS A300-600R,1,0,0.0,0.0,,,
AIRBUS A300B4-203,1,1,5.0,5.0,,,
AIRBUS A310,1,1,152.0,152.0,,,
AIRBUS A310 - 308,1,0,0.0,0.0,,,
AIRBUS A319,13,0,0.0,0.0,,,
AIRBUS A319 - 132,2,0,0.0,0.0,,,
AIRBUS A319 112,1,0,0.0,0.0,,,
AIRBUS A319 114,1,0,0.0,0.0,,,
AIRBUS A319 115,4,0,0.0,0.0,,,
AIRBUS A319 132,2,0,0.0,0.0,,,
AIRBUS A319-111,1,0,0.0,0.0,,,
AIRBUS A319-112,2,0,0.0,0.0,,,
AIRBUS A319-115,1,0,0.0,0.0,,,
AIRBUS A320,78,4,283.0,3.628205128205128,,,
AIRBUS A320 - 211,1,0,0.0,0.0,,,
AIRBUS A320 - 214,2,0,0.0,0.0,,,
AIRBUS A320 - 216,1,1,162.0,162.0,,,
AIRBUS A320 - 231,1,0,0.0,0.0,,,
AIRBUS A320 214,1,0,0.0,0.0,,,
AIRBUS A320 232,3,0,0.0,0.0,,,
AIRBUS A320 233,1,0,0.0,0.0,,,
AIRBUS A320-211,1,0,0.0,0.0,,,
AIRBUS A320-214,3,0,0.0,0.0,,,
AIRBUS A320-232,4,0,0.0,0.0,,,
AIRBUS A320-251N,1,0,0.0,0.0,,,
AIRBUS A320-271N,1,0,0.0,0.0,,,
AIRBUS A321,20,2,381.0,19.05,,,
AIRBUS A321 - 211,1,0,0.0,0.0,,,
AIRBUS A321 231,7,0,0.0,0.0,,,
AIRBUS A321-211,1,0,0.0,0.0,,,
AIRBUS A321-231,3,0,0.0,0.0,,,
AIRBUS A321-271N,3,0,0.0,0.0,,,
AIRBUS A330,30,2,331.0,11.033333333333333,,,
AIRBUS A330 - 201,1,0,0.0,0.0,,,
AIRBUS A330 - 203,1,0,0.0,0.0,,,
AIRBUS A330 - 223,2,0,0.0,0.0,,,
AIRBUS A330 - 301,1,0,0.0,0.0,,,
AIRBUS A330 - 302,1,0,0.0,0.0,,,
AIRBUS A330 - 323,1,0,0.0,0.0,,,
AIRBUS A330 223,1,0,0.0,0.0,,,
AIRBUS A330 323,3,0,0.0,0.0,,,
AIRBUS A330-243,2,0,0.0,0.0,,,
AIRBUS A330-323,3,0,0.0,0.0,,,
AIRBUS A340 - 300,1,0,0.0,0.0,,,
AIRBUS A380,4,0,0.0,0.0,,,
AIRBUS A380-861,1,0,0.0,0.0,,,
AIRBUS BD-500-1A11 (CS300),1,0,0.0,0.0,,,
AIRBUS F4-622R,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE 319,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A 310,1,1,169.0,169.0,,,
AIRBUS INDUSTRIE A300B4-622R,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A310-324,1,1,30.0,30.0,,,
AIRBUS INDUSTRIE A319 112,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A319 132,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A319-100,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A319-114,2,0,0.0,0.0,,,
AIRBUS INDUSTRIE A319-131,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A319-132,2,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320,2,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320 211,3,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320 212,2,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320 214,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320-211,2,1,150.0,75.0,,,
AIRBUS INDUSTRIE A320-212,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320-214,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320-232,2,0,0.0,0.0,,,
AIRBUS INDUSTRIE A320-233,1,1,3.0,3.0,,,
AIRBUS INDUSTRIE A330 323,1,0,0.0,0.0,,,
AIRBUS INDUSTRIE A330-323,3,0,0.0,0.0,,,
AIRCRAFT MFG & DESIGN LLC CH601XL SLSA,1,1,1.0,1.0,,,
AIRCRAFT MFG & DESIGN LLC CH750 STOL,1,0,0.0,0.0,,,
AIRCRAFT MFG & DEV. CO. (AMD) CH601XL SLSA,1,1,2.0,2.0,,,
AIRCRAFT MFG & DEV. CO. (AMD) CH601XLI,1,0,0.0,0.0,,,
AIRCRAFT MFG & DEV. CO. CH 2000,1,0,0.0,0.0,,,
AIRCRAFT MFG & DEVELOPMENT CO CH 2000,3,1,2.0,0.6666666666666666,,,
AIRCRAFT MFG & DEVELOPMENT CO CH 601XL S,1,0,0.0,0.0,,,
AIRCRAFT MFG & DVLPMT CO CH601XL,1,1,2.0,2.0,,,
AIRCRAFT MFG & DVLPMT CO CH601XLI SLSA,1,1,1.0,1.0,,,
AIRINDUS THORPEDO T211,1,0,0.0,0.0,,,
AIRMAX CONSTRUCOES AERONAUTICA SEAMAX-M22,1,0,0.0,0.0,,,
AIRPARTS NZ LTD FU 24 STALLION,1,1,1.0,1.0,,,
AIRPLANE FACTORY (PTY) LTD SLING,1,0,0.0,0.0,,,
AIRPLANE FACTORY (PTY) LTD SLING LSA,1,0,0.0,0.0,,,
AIRPLANE FACTORY (PTY) LTD THE SLING,1,0,0.0,0.0,,,
AIRPLANE FACTORY SPORT LIGHT,1,0,0.0,0.0,,,
AIRTIME AIRCRAFT INC CYGNET,1,0,0.0,0.0,,,
AIRVAN GA8,1,1,9.0,9.0,,,
ALASKAN AIR ADVENTURES LLC SQ2,1,0,0.0,0.0,,,
ALBRIGHT STAN KITFOX SUPER SPORT,1,0,0.0,0.0,,,
ALEXANDER DUANE A RV-8,1,0,0.0,0.0,,,
ALEXANDER RV-7,1,1,1.0,1.0,,,
ALEXANDER THOMAS P SPORTSMAN GS-2,1,1,1.0,1.0,,,
ALGIMANTAS JONUSAS RV-10,1,0,0.0,0.0,,,
ALIEV BULENT COZY MARK IV,1,0,0.0,0.0,,,
ALLAN G PIXLEY THATCHER CX4,1,0,0.0,0.0,,,
ALLARDYCE MICHAEL GLASTAR,1,0,0.0,0.0,,,
ALLEN BD-5,1,0,0.0,0.0,,,
ALLEN JAN A CHALLENGER II,1,0,0.0,0.0,,,
ALLEN RAYMOND H LANCAIR LEGACY,1,0,0.0,0.0,,,
ALLEN ROBERT RV6,1,0,0.0,0.0,,,
ALLEN STEEN SKYBOLT,1,1,2.0,2.0,,,
ALON A-2A,1,0,0.0,0.0,,,
ALON A2,10,1,1.0,0.1,,,
ALON AIRCOUPE A2-A,1,1,2.0,2.0,,,
ALONSO CH 701,1,0,0.0,0.0,,,
ALPI AVIATION PIONEER,1,1,2.0,2.0,,,
ALVAREZ MARVIN R RANS S-6S,2,0,0.0,0.0,,,
AMATEUR BUILT AIRCRAFT KR-2,1,1,1.0,1.0,,,
AMATEUR BUILT AIRCRAFT VAN'S RV-6,1,1,1.0,1.0,,,
AMATEUR BUILT AIRCRAFT VAN'S RV-6A,1,1,1.0,1.0,,,
AMATEUR CONSTRUCTION GLASAIR RG,1,1,1.0,1.0,,,
AMATEUR CONSTRUCTION RANS S6-ESD (MODIFIE,1,1,2.0,2.0,,,
AMATEUR CONSTRUCTION TITAN T-51 MUSTANG,1,0,0.0,0.0,,,
AMATEUR CONSTRUCTION VARI EZE,1,1,2.0,2.0,,,
AMATURE BUILT PITTS,1,1,1.0,1.0,,,
AMD CH2000,1,0,0.0,0.0,,,
AMEN STAR LITE,1,0,0.0,0.0,,,
AMERICAN AA,1,0,0.0,0.0,,,
AMERICAN AA 1,4,0,0.0,0.0,,,
AMERICAN AA-1,7,2,3.0,0.42857142857142855,,,
AMERICAN AA-1B,1,0,0.0,0.0,,,
AMERICAN AA-5,2,0,0.0,0.0,,,
AMERICAN AA5,1,0,0.0,0.0,,,
AMERICAN AIR RACING LTD THUNDER MUSTANG,1,1,1.0,1.0,,,
AMERICAN AVIATION AA 1,2,1,1.0,0.5,,,
AMERICAN AVIATION AA 1A,3,0,0.0,0.0,,,
AMERICAN AVIATION AA 5,2,1,1.0,0.5,,,
AMERICAN AVIATION AA-1A,8,5,9.0,1.125,,,
AMERICAN AVIATION AA1,4,0,0.0,0.0,,,
AMERICAN AVIATION AA5,4,2,3.0,0.75,,,
AMERICAN AVIATION CORP. (AAC) AA-1A,1,0,0.0,0.0,,,
AMERICAN AVIATION CORP. (AAC) GRUMMAN AA 1B,1,0,0.0,0.0,,,
AMERICAN CHAMPION (ACAC) 7AC,1,0,0.0,0.0,,,
AMERICAN CHAMPION (ACAC) 7GCAA,1,0,0.0,0.0,,,
AMERICAN CHAMPION (ACAC) 7GCBC,2,1,1.0,0.5,,,
AMERICAN CHAMPION 7GCAA,2,0,0.0,0.0,,,
AMERICAN CHAMPION 7GCB,1,0,0.0,0.0,,,
AMERICAN CHAMPION 7KCAB,1,0,0.0,0.0,,,
AMERICAN CHAMPION 8GCBC,1,0,0.0,0.0,,,
AMERICAN CHAMPION 8KCAB,2,1,2.0,1.0,,,
AMERICAN CHAMPION AIRCRAFT 7AC,2,0,0.0,0.0,,,
AMERICAN CHAMPION AIRCRAFT 7EC,1,0,0.0,0.0,,,
AMERICAN CHAMPION AIRCRAFT 7ECA,1,0,0.0,0.0,,,
AMERICAN CHAMPION AIRCRAFT 7GCAA,5,0,0.0,0.0,,,
AMERICAN CHAMPION AIRCRAFT 7GCBC,13,3,5.0,0.38461538461538464,,,
AMERICAN CHAMPION AIRCRAFT 8GCBC,14,1,1.0,0.07142857142857142,,,
AMERICAN CHAMPION AIRCRAFT 8KCAB,15,5,7.0,0.4666666666666667,,,
AMERICAN CHAMPION AIRCRAFT COR 7GCBC,1,1,2.0,2.0,,,
AMERICAN EUROCOPTER AS350,1,1,2.0,2.0,,,
AMERICAN GENERAL ACFT CORP AG5,1,0,0.0,0.0,,,
AMERICAN GENERAL ACFT CORP AG5B,2,0,0.0,0.0,,,
AMERICAN LEGAND AIRCRAFT AL18,1,0,0.0,0.0,,,
AMERICAN LEGEND AIRCRAFT CO AL11C 100,1,0,0.0,0.0,,,
AMERICAN LEGEND AIRCRAFT CO AL11C-100,1,0,0.0,0.0,,,
AMERICAN LEGEND AIRCRAFT CO AL18,1,0,0.0,0.0,,,
AMERICAN LEGEND AIRCRAFT CO AL3,13,0,0.0,0.0,,,
AMERICAN LEGEND AIRCRAFT CO AL3C,1,0,0.0,0.0,,,
AMERICAN LEGEND AIRCRAFT CO. AL3,1,0,0.0,0.0,,,
AMERICAN LEGEND AL-3,1,0,0.0,0.0,,,
AMERICAN LEGEND AL-3 CUB,1,0,0.0,0.0,,,
AMERICAN LEGEND AL-3C,1,0,0.0,0.0,,,
AMERICAN LEGEND AL3,3,0,0.0,0.0,,,
AMERICAN LEGEND AL3C,1,0,0.0,0.0,,,
AMERICAN LONGEVITY CORP SEAREY,1,0,0.0,0.0,,,
AMES ANGIER M LNC2,1,1,2.0,2.0,,,
AMSTUTZ CURTIS J BD-5B,1,0,0.0,0.0,,,
ANATRA BART T VANS RV-7A,1,0,0.0,0.0,,,
ANDERAS TIGER MOTH R80,1,0,0.0,0.0,,,
ANDERSON ANDREAS RANS S-6S,1,0,0.0,0.0,,,
ANDERSON DARRELL L STARDUSTER TOO,1,0,0.0,0.0,,,
ANDERSON JOHN H AVID FLYER MK 4,1,1,1.0,1.0,,,
ANDERSON R E/ABROMAVICH L J LANCAIR 360,1,0,0.0,0.0,,,
ANDRE KOSTRZEWA MUSTANG 2,1,0,0.0,0.0,,,
ANDREW HAROLD STOL CH 701,1,0,0.0,0.0,,,
ANDREW MCKIMMON DR-1 TRIPLANE,1,0,0.0,0.0,,,
ANDREWS ZODIAC,1,1,1.0,1.0,,,
ANG 01,1,1,2.0,2.0,,,
ANGEL AIRCRAFT CORPORATION 44,1,1,2.0,2.0,,,
ANGLIN RV-6,1,0,0.0,0.0,,,
ANGUS WATT ZENAIR STOLCH 750,1,0,0.0,0.0,,,
ANKERSTAR BRADLEY D RAND-ROBINSON KR2,1,0,0.0,0.0,,,
"ANKESTAR, BRADLEY D. RAND-ROBINSON KR2",1,0,0.0,0.0,,,
ANTARES MA-33,1,1,1.0,1.0,,,
ANTENOR VELAZCO LANCAIR EVOLUTION,1,1,2.0,2.0,,,
ANTONOV AN124,1,0,0.0,0.0,,,
ANTONOV AN148,1,1,71.0,71.0,,,
ANTONOV AN2,2,0,0.0,0.0,,,
ANTONOV AN24,1,0,0.0,0.0,,,
ANTONOV TVS-2MS,1,0,0.0,0.0,,,
ANTONOVICH ANTON B CHALLENGER II,1,1,1.0,1.0,,,
APOLLO AIRCRAFT INC FOX,1,0,0.0,0.0,,,
APPLEBY NIEUPORT 28,1,1,1.0,1.0,,,
APPLEGATE PANZL S331E,1,1,1.0,1.0,,,
ARADO-FLUGZEUGWERKE GMBH FW190 A-5,2,0,0.0,0.0,,,
